"Sweet Kill";110000
"Auch Zwerge haben klein angefangen";200000
"Cry of the Banshee";500000
"The House That Dripped Blood";500000
"House of Dark Shadows";750000
"The Wizard of Gore";60000
"Count Yorga, Vampire";64000
"Multiple Maniacs";5000
"Murders in the Rue Morgue";700000
"Night of Dark Shadows";900000
"The Possession of Joel Delaney";1300000
Schlock;60000
"Alabama's Ghost";55000
Blacula;500000
"Children Shouldn't Play with Dead Things";70000
"Dead of Night";235000
"The Gore Gore Girls";63500
"Grave of the Vampire";50000
"Tower of Evil";400000
Images;807000
"The Last House on the Left";90000
"Lisa e il diavolo";1000000
"Hungry Wives";90000
"Black Snake";300000
"The Crazies";275000
"Don't Look Now";1500000
"The Exorcist";8000000
"The Killing Kind";200000
"Poor Pretty Eddie";1100000
Sssssss;1300000
"Night of the Dark Full Moon";295000
Sisters;500000
"A Thief in the Night";60000
"Wonder Women";110000
Abby;400000
Blood;25000
Deranged;200000
"Flesh for Frankenstein";450000
"The Texas Chain Saw Massacre";83532
"Horror High";67000
"Criminally Insane";30000
"Gang Wars";100000
Jaws;8000000
"Blue Sunshine";550000
Carrie;1800000
"Eaten Alive";520000
Eraserhead;20000
Grizzly;750000
"The Omen";2800000
Bad;1500000
"Day of the Animals";1200000
"The Deep";9000000
"Desperate Living";65000
Communion;340000
"The Island of Dr. Moreau";6000000
Jabberwocky;500000
"Kingdom of the Spiders";500000
"The Last House on Dead End Street";1500
"The Sentinel";3700000
"Shock Waves";200000
"Dawn of the Dead";650000
Effects;55000
"The Evil";700000
"Eyes of Laura Mars";7000000
"The Fury";5500000
Halloween;300000
"The Hills Have Eyes";230000
"Day of the Woman";650000
"Invasion of the Body Snatchers";3500000
"Jaws 2";20000000
"The Manitou";3000000
Martin;80000
Piranha;600000
"The Toolbox Murders";185000
Alien;11000000
"Cannibal Holocaust";100000
Dracula;12164000
"The Legacy";2500000
Phantasm;300000
Prophecy;12000000
"When a Stranger Calls";740000
Alligator;1500000
"Don't Go in the House";250000
"The Fog";1000000
"Friday the 13th";550000
"Fukkatsu no hi";16000000
Inferno;3000000
"The Island";22000000
Maniac;350000
"Motel Hell";3000000
"Mother's Day";150000
"The Shining";19000000
"Terror Train";3500000
"An American Werewolf in London";10000000
"The Boogens";600000
"The Burning";1500000
"Dead & Buried";3000000
"Deadly Blessing";2500000
"...E tu vivrai nel terrore! L'aldilà";400000
"Turkey Shoot";3200000
Evilspeak;900000
"Eyes of a Stranger";800000
"Friday the 13th Part 2";1250000
"Galaxy of Terror";700000
"Halloween II";2500000
"The Howling";1000000
"The Prowler";1000000
"The Unseen";2000000
"Basket Case";35000
"Cat People";18000000
Creepshow;8000000
"Eating Raoul";350000
"The Evil Dead";375000
"Forbidden World";1000000
"Friday the 13th Part III";4000000
Poltergeist;10700000
Q;1200000
"Silent Rage";4500000
"The Slumber Party Massacre";250000
"Swamp Thing";3000000
"The Thing";15000000
"White Dog";8000000
Christine;9700000
Cujo;5000000
"The Dead Zone";10000000
"Eyes of Fire";2600000
"House of the Long Shadows";7500000
"The House on Sorority Row";425000
"The Keep";6000000
"Of Unknown Origin";4000000
"One Dark Night";978000
"Psycho II";5000000
"Sleepaway Camp";350000
"Twilight Zone: The Movie";10000000
Videodrome;5952000
C.H.U.D.;1250000
"Children of the Corn";800000
"The Company of Wolves";2000000
Firestarter;15000000
"Friday the 13th: The Final Chapter";1800000
Gojira;2000000
Gremlins;11000000
"The Last Horror Film";2000000
Mortuary;250000
"Night of the Comet";3000000
"A Nightmare on Elm Street";1800000
Phenomena;3800000
"The Deadly Spawn";25000
"Silent Night, Deadly Night";1065000
"Cat's Eye";7000000
Crimewave;3000000
"Day of the Dead";3500000
Dèmoni;1800000
"Fright Night";9000000
Lifeforce;25000000
"Mark of Cain";1000000
"A Nightmare on Elm Street Part 2: Freddy's Revenge";2200000
"Once Bitten";3200000
Re-Animator;900000
"The Return of the Living Dead";4000000
"Silver Bullet";7000000
"Stryker's War";200000
"The Stuff";1700000
"Terminal Choice";3900000
"The Toxic Avenger";475000
Witchboard;2000000
"April Fool's Day";5000000
"Chopping Mall";800000
"Class of Nuke 'Em High";2000000
"Combat Shock";40000
Critters;2000000
"Dèmoni 2... l'incubo ritorna";1500000
"The Fly";15000000
"Jason Lives: Friday the 13th Part VI";3000000
"From Beyond";4500000
House;3000000
"Invaders from Mars";12000000
"Little Shop of Horrors";25000000
"Maximum Overdrive";10000000
"Night of the Creeps";5000000
"The Offspring";1100000
"The Outing";2000000
"Poltergeist II: The Other Side";19000000
"The Texas Chainsaw Massacre 2";4700000
"Truth or Dare?: A Critical Madness";200000
Vamp;3300000
"The Vindicator";4210000
"The Wraith";2700000
"Angel Heart";17000000
Deliria;1000000
"Creepshow 2";3500000
"Evil Dead II";3600000
"The Gate";2500000
Hellraiser;1000000
"Killing Spree";75000
"The Monster Squad";12000000
"Near Dark";5000000
"Night of the Demons";1200000
"Nightmare Sisters";40000
"A Nightmare on Elm Street 3: Dream Warriors";4500000
Opera;8000000
"Prince of Darkness";3000000
"Psychos in Love";75000
Slaughterhouse;110000
"Bad Dreams";4000000
"The Blob";19000000
"Brain Damage";900000
"La chiesa";3500000
"Child's Play";9000000
Clownhouse;200000
"Critters 2";4500000
"Curse of the Queerwolf";10000
"Dead Heat";5000000
"The Dead Next Door";75000
"Elvira: Mistress of the Dark";7500000
"Friday the 13th Part VII: The New Blood";2800000
"Halloween 4: The Return of Michael Myers";5000000
Intruder;130000
"Killer Klowns from Outer Space";2000000
"The Kiss";6000000
"Lady in White";4700000
"The Lair of the White Worm";2500000
"Maniac Cop";1100000
"Meet the Hollowheads";4800000
"Monkey Shines";7000000
"A Nightmare on Elm Street 4: The Dream Master";7000000
"Out of the Dark";1600000
"Phantasm II";3000000
Prison;1300000
Pulse;6000000
Pumpkinhead;3500000
Retribution;1200000
"Return of the Living Dead: Part II";6200000
Scarecrows;425000
"The Serpent and the Rainbow";7000000
"Tales from the Gimli Hospital";25000
"They Live";4000000
"After Midnight";3000000
"Halloween 5";3000000
Killer!;9000
"Night Life";2500000
"A Nightmare on Elm Street: The Dream Child";8000000
Parents;3000000
"Pet Sematary";11500000
"Santa sangre";787000
Shocker;5000000
"Stepfather II";1500000
"Sundown: The Vampire in Retreat";3000000
"The Toxic Avenger Part II";2300000
Warlock;7000000
Arachnophobia;31000000
"Basket Case 2";2500000
"Black Rainbow";7000000
"Brain Dead";2000000
"Child's Play 2";13000000
"Class of 1999";5200000
"The First Power";10000000
Flatliners;26000000
Frankenhooker;2500000
"Frankenstein Unbound";11500000
"Un gatto nel cervello";100000
"Gremlins 2: The New Batch";50000000
"Henry: Portrait of a Serial Killer";111000
"Dark Angel";7000000
"Jacob's Ladder";25000000
"Maniac Cop 2";4000000
"The Night Brings Charlie";225000
"Night of the Living Dead";4200000
Rockula;1500000
Shakma;1500000
"Tales from the Darkside: The Movie";3500000
Tremors;11000000
"Due occhi diabolici";9000000
Begotten;33000
"Robot Jox";10000000
"The Dead Pit";350000
"Kiss of the Tarantula";200000
